Plant Name,Plant Code,State,Sector Name,Prime Movers,Fuel Types
DSM Solar,60739,NJ,Electric utility non-cogen,PV,SUN
DWW Solar ll,62657,CT,Electric utility non-cogen,PV,SUN
Dakota Community Solar One LLC CSG,63116,MN,Electric utility non-cogen,PV,SUN
Dalton 2,59556,GA,Electric utility,PV,SUN
Daniel Farm LLC,59126,NC,Electric utility non-cogen,PV,SUN
Danville,61849,VA,Electric utility non-cogen,PV,SUN
"Darlington Solar, LLC",60993,SC,Electric utility non-cogen,PV,SUN
Dartmouth,58682,MA,Electric utility non-cogen,PV,SUN
Dartmouth II Solar,57838,MA,Electric utility non-cogen,PV,SUN
Dartmouth Landfill,59131,MA,Electric utility non-cogen,PV,SUN
Dartmouth Solar,57473,MA,Electric utility non-cogen,PV,SUN
Daum Solar,62412,NY,Electric utility non-cogen,PV,SUN
"Davis Lane Solar, LLC",61581,NC,Electric utility non-cogen,PV,SUN
Davis Monthan AFB (AZ) West Airfield,59779,AZ,Electric utility non-cogen,PV,SUN
Day Four Solar LLC,62905,NJ,Electric utility non-cogen,PV,SUN
Daystar Solar,60179,NC,Electric utility non-cogen,PV,SUN
Dayton Cutoff Solar,61827,OR,Electric utility non-cogen,PV,SUN
Daytona International Speedway Solar,60005,FL,Electric utility,PV,SUN
DeSoto Next Generation Solar Energy,56929,FL,Electric utility,PV,SUN
Decatur Co. Solar RES (IN),59988,IN,Electric utility,PV,SUN
Decatur County Solar Project,59449,GA,Electric utility non-cogen,PV,SUN
"Decatur Parkway Solar Project, LLC",59450,GA,Electric utility non-cogen,PV,SUN
Deep Branch Farm,61403,NC,Electric utility non-cogen,PV,SUN
Deer Creek PV,59855,IN,Electric utility,PV,SUN
Deer Island Treatment Plant,10823,MA,Commercial cogen,"WT,GT,HY,PV,ST","WND,WAT,DFO,OBG,SUN"
Deer Park,58786,NY,Electric utility non-cogen,PV,SUN
Deerfield CSG Solar,60775,MA,Electric utility non-cogen,PV,SUN
Delano Land 1,61116,CA,Electric utility non-cogen,PV,SUN
Delco Farm,61088,NC,Electric utility non-cogen,PV,SUN
Delilah Road Landfill,58951,NJ,Electric utility non-cogen,PV,SUN
Delphinus Community Solar,61329,MN,Electric utility non-cogen,PV,SUN
Delta Solar Power I,61954,MI,Electric utility non-cogen,PV,SUN
Delta Solar Power II,61955,MI,Electric utility non-cogen,PV,SUN
Dement Farm LLC,58874,NC,Electric utility non-cogen,PV,SUN
Demille Solar Farm,60346,MI,Electric utility,PV,SUN
Deming Solar Energy Center,57575,NM,Electric utility,PV,SUN
Deneb Community Solar,61715,MN,Electric utility non-cogen,PV,SUN
Denison Solar Array,61637,OH,Electric utility non-cogen,PV,SUN
Dennis Landfill,59082,MA,Electric utility non-cogen,PV,SUN
Dennison,58787,NY,Electric utility non-cogen,PV,SUN
Denver Braswell PV,61441,GA,Electric utility non-cogen,PV,SUN
Denver Int Airport,56815,CO,Electric utility non-cogen,PV,SUN
Denver Intl Airport IV Solar,59462,CO,Electric utility non-cogen,PV,SUN
Denver Metro Solar,61563,CO,Electric utility non-cogen,PV,SUN
Depot Hill Solar CSG,60852,MA,Electric utility non-cogen,PV,SUN
Depot Park Solar System,58119,CA,Electric utility non-cogen,PV,SUN
Dept of General Services -FTB,60861,CA,Electric utility non-cogen,PV,SUN
Desert Green Solar Farm LLC,57959,CA,Electric utility non-cogen,PV,SUN
Desert Hot Springs Solar,58514,CA,Electric utility non-cogen,PV,SUN
Desert Star,59444,AZ,Electric utility,PV,SUN
Desert Star Hybrid,62965,AZ,Electric utility,PV,SUN
"Desert Sunlight 250, LLC",58542,CA,Electric utility non-cogen,PV,SUN
"Desert Sunlight 300, LLC",57993,CA,Electric utility non-cogen,PV,SUN
Dessie Solar Center LLC,58952,NC,Electric utility non-cogen,PV,SUN
Deutsche Bank- Piscataway Solar,60803,NJ,Electric utility non-cogen,PV,SUN
Devens,59358,MA,Electric utility non-cogen,PV,SUN
Diamond Solar,61974,SC,Electric utility non-cogen,PV,SUN
Diamond Valley Solar Project,59405,CA,Electric utility non-cogen,PV,SUN
Dibrell Farm,58346,NC,Electric utility non-cogen,PV,SUN
Dickinson Solar,62946,PA,Electric utility non-cogen,PV,SUN
Dickinson Solar Array,60652,MN,Electric utility,PV,SUN
Dignity - San Martin,61862,NV,Electric utility non-cogen,PV,SUN
Dignity - Siena Campus,61825,NV,Electric utility non-cogen,PV,SUN
Dinuba Wastewater Treatment Plant,57827,CA,Commercial non-cogen,PV,SUN
Division 1,59094,CA,Electric utility non-cogen,PV,SUN
Division 2,59095,CA,Electric utility non-cogen,PV,SUN
Division 3,59096,CA,Electric utility non-cogen,PV,SUN
"Dix Solar, L.L.C",61864,NJ,Electric utility non-cogen,PV,SUN
Dixon Dairy Road Solar,58453,NC,Electric utility non-cogen,PV,SUN
Dodge Center Solar,60523,MN,Electric utility non-cogen,PV,SUN
Dodge Holdco Solar CSG,60833,MN,Electric utility non-cogen,PV,SUN
DodgeSun CSG,61379,MN,Electric utility non-cogen,PV,SUN
"Dogwood Solar, LLC",58844,NC,Electric utility non-cogen,PV,SUN
Domino Farms Solar,60017,MI,Electric utility,PV,SUN
Dorchester Solar Site,57265,MA,Electric utility,PV,SUN
"Dougherty County Solar, LLC",62375,GA,Electric utility non-cogen,PV,SUN
Douglas Solar,57934,MA,Electric utility non-cogen,PV,SUN
Douglas Todd Community Solar One LLC CSG,63117,MN,Electric utility non-cogen,PV,SUN
Dover CSG,63106,NY,Electric utility non-cogen,PV,SUN
Dover Sun Park,57337,DE,Electric utility non-cogen,PV,SUN
Dow Jones South Brunswick Solar,57397,NJ,Electric utility non-cogen,PV,SUN
Downs Farm Solar,59429,NC,Electric utility non-cogen,PV,SUN
Downsville DPC Solar,60892,WI,Electric utility non-cogen,PV,SUN
Dragstrip Farm,59102,NC,Electric utility non-cogen,PV,SUN
Dryden Rd #2 Community Solar Farm CSG,62477,NY,Electric utility non-cogen,PV,SUN
Duanesburg,61863,NY,Electric utility non-cogen,PV,SUN
Dublin Solar I,60930,GA,Electric utility non-cogen,PV,SUN
Dudley Solar CSG,62201,MA,Electric utility non-cogen,PV,SUN
Duke Building 129,59434,IN,Electric utility non-cogen,PV,SUN
Duke Building 87,59432,IN,Electric utility non-cogen,PV,SUN
Duke Building 98,59433,IN,Electric utility non-cogen,PV,SUN
Dulles,60182,CA,Electric utility non-cogen,PV,SUN
Dundas Solar Holdings LLC CSG,61626,MN,Electric utility non-cogen,PV,SUN
Dunn,59376,NC,Electric utility non-cogen,PV,SUN
Duplin Solar I LLC (160 Houston Lane),60599,NC,Electric utility non-cogen,PV,SUN
Duplin Solar LLC,58879,NC,Electric utility non-cogen,PV,SUN
Durham Solar,60131,NC,Electric utility non-cogen,PV,SUN
Dynamic - Walpole,62324,MA,Electric utility non-cogen,PV,SUN
E W Brown,1355,KY,Electric utility,"GT,PV,ST","NG,DFO,BIT,SUN"
E&B Resources,60446,CA,Electric utility non-cogen,PV,SUN
E. Goenner Project CSG,63175,MN,Electric utility non-cogen,PV,SUN
EAFB - North Base,59132,CA,Electric utility non-cogen,PV,SUN
EAFB - South Base,59133,CA,Electric utility non-cogen,PV,SUN
EBZ Solar,59032,MA,Electric utility non-cogen,PV,SUN
EDF Lancaster,59140,MA,Electric utility non-cogen,PV,SUN
EE Waianae Solar Project,61172,HI,Electric utility non-cogen,PV,SUN
"EGP Stillwater Solar PV II, LLC",61809,NV,Electric utility non-cogen,PV,SUN
ELACC Photovoltaic Power Facility,56814,CA,Electric utility non-cogen,PV,SUN
ESA Four Oaks 2 NC LLC,62996,NC,Electric utility non-cogen,PV,SUN
ESA Selma,59956,NC,Electric utility non-cogen,PV,SUN
ESA Smithfield,59955,NC,Electric utility non-cogen,PV,SUN
ETS Ewing Solar Facility,57574,NJ,Electric utility non-cogen,PV,SUN
Eagle Creek,63078,CA,Electric utility non-cogen,PV,SUN
Eagle Point Solar,61560,OR,Electric utility non-cogen,PV,SUN
Eagle Springs Solar LLC,59239,CO,Electric utility non-cogen,PV,SUN
"East Acres Solar NG, LLC",61755,MA,Electric utility non-cogen,PV,SUN
East Amwell,60327,NJ,Electric utility non-cogen,PV,SUN
East Bridgewater Solar,62197,MA,Electric utility non-cogen,PV,SUN
East Chicago,59018,IN,Electric utility non-cogen,PV,SUN
East Longmeadow Solar PV,62059,MA,Electric utility,PV,SUN
East Orange Solar,60727,NJ,Electric utility non-cogen,PV,SUN
East Pecos Solar,60436,TX,Electric utility non-cogen,PV,SUN
East Springfield Solar PV,62093,MA,Electric utility,PV,SUN
East Wayne Solar LLC,59189,NC,Electric utility non-cogen,PV,SUN
Eastern Iowa Solar,60876,IA,Electric utility,PV,SUN
"Eastern Shore Solar, LLC",60127,VA,Electric utility non-cogen,PV,SUN
Easthampton Landfill-City of Easthampton,58272,MA,Electric utility non-cogen,PV,SUN
Easton Landfill,59134,MA,Electric utility non-cogen,PV,SUN
Eastover Farm,59562,NC,Electric utility non-cogen,PV,SUN
Eastwood Solar,60524,MN,Electric utility non-cogen,PV,SUN
Eddy II,61874,TX,Electric utility non-cogen,PV,SUN
Eden Solar LLC,59778,NC,Electric utility non-cogen,PV,SUN
Edenton Solar,61781,NC,Electric utility non-cogen,PV,SUN
Edison Solar,61975,SC,Electric utility non-cogen,PV,SUN
Edwards Air Force Base,58076,CA,Electric utility non-cogen,PV,SUN
Eichtens Community Solar,60795,MN,Electric utility non-cogen,PV,SUN
Eichtens II CSG,62137,MN,Electric utility non-cogen,PV,SUN
El Dorado Springs Solar Farm,61566,MO,Electric utility non-cogen,PV,SUN
Elbe Solar Center,61497,OR,Electric utility non-cogen,PV,SUN
Elevation Solar C,59964,CA,Electric utility non-cogen,PV,SUN
Elizabeth Mines Solar 1,61124,VT,Electric utility non-cogen,PV,SUN
Elizabethtown Solar,60985,PA,Electric utility non-cogen,PV,SUN
Elkton Solar,60089,MD,Electric utility non-cogen,PV,SUN
Ellerbe,59042,NC,Electric utility non-cogen,PV,SUN
Ellettsville Solar RES,59985,IN,Electric utility,PV,SUN
Elliana Solar,58725,NC,Electric utility non-cogen,PV,SUN
Ellis Solar,62413,NY,Electric utility non-cogen,PV,SUN
Ellsworth I CSG,63112,NY,Electric utility non-cogen,PV,SUN
Elm City Solar Facility,59164,NC,Electric utility,PV,SUN
"Elm Solar, LLC",60136,NC,Electric utility non-cogen,PV,SUN
Elroy Solar,62868,WI,Electric utility non-cogen,PV,SUN
Emmitsburg Solar Arrays,60849,MD,Electric utility non-cogen,PV,SUN
Empire Solar,60631,MN,Electric utility non-cogen,PV,SUN
Enerparc CA1 LLC,59122,CA,Electric utility non-cogen,PV,SUN
"Enerparc CA2, LLC",59978,CA,Electric utility non-cogen,PV,SUN
Enfield Community Solar,62029,NY,Electric utility non-cogen,PV,SUN
Engelhard Solar LLC,59367,NJ,Electric utility non-cogen,PV,SUN
"Ennis Solar, LLC",62662,NC,Electric utility non-cogen,PV,SUN
"Enterprise Solar, LLC",59386,UT,Electric utility non-cogen,PV,SUN
Epic Verona,62676,WI,Commercial non-cogen,PV,SUN
Equuleus Community Solar Gardens,61363,MN,Electric utility non-cogen,PV,SUN
Erwin Farm,58859,NC,Electric utility non-cogen,PV,SUN
"Escalante Solar I, LLC",59387,UT,Electric utility non-cogen,PV,SUN
"Escalante Solar II, LLC",59388,UT,Electric utility non-cogen,PV,SUN
"Escalante Solar III, LLC",59389,UT,Electric utility non-cogen,PV,SUN
Essex Solar Center,61406,VA,Electric utility non-cogen,PV,SUN
Estill Solar,61490,SC,Electric utility non-cogen,PV,SUN
Estill Solar II,61529,SC,Electric utility non-cogen,PV,SUN
Estrella Mountain PV,60230,AZ,Electric utility non-cogen,PV,SUN
Eubank Landfill Solar Array,59393,NM,Electric utility non-cogen,PV,SUN
Everett PV1,60997,NC,Electric utility non-cogen,PV,SUN
"Everetts Wildcat Solar, LLC",59549,NC,Electric utility non-cogen,PV,SUN
Exelon Solar Chicago,57191,IL,Electric utility non-cogen,PV,SUN
Exeter Solar,58306,CA,Electric utility non-cogen,PV,SUN
Expressway Solar A,58761,CA,Electric utility non-cogen,PV,SUN
Expressway Solar B,58762,CA,Electric utility non-cogen,PV,SUN
Expressway Solar C2,58763,CA,Electric utility non-cogen,PV,SUN
"Exum Farm Solar, LLC",60400,NC,Electric utility non-cogen,PV,SUN
FAA NorCal TRACON,58261,CA,Electric utility non-cogen,PV,SUN
FECC Solar Benton,61839,AR,Electric utility non-cogen,PV,SUN
FIU Solar,60006,FL,Electric utility,PV,SUN
"FL Solar 4, LLC",63187,FL,Electric utility non-cogen,PV,SUN
"FLS Solar 170, LLC",59552,NC,Electric utility non-cogen,PV,SUN
"FLS Solar 200, LLC",59551,NC,Electric utility non-cogen,PV,SUN
FLS Solar 230 (Warren),59646,NC,Electric utility non-cogen,PV,SUN
FRV SI Transport Solar LP,57506,CA,Electric utility non-cogen,PV,SUN
Facebook 1 Solar Energy Center,61556,NM,Electric utility non-cogen,PV,SUN
Facebook 2 Solar Energy Center,61557,NM,Electric utility non-cogen,PV,SUN
Facebook 3 Solar Energy Center,61558,NM,Electric utility non-cogen,PV,SUN
Facile Solar,59406,NC,Electric utility non-cogen,PV,SUN
Fairhaven C CSG,60423,MA,Electric utility non-cogen,PV,SUN
Fairmont-FLS 100,59052,NC,Electric utility non-cogen,PV,SUN
Fairview Farms Solar,58974,MA,Electric utility non-cogen,PV,SUN
Faison Solar,59333,NC,Electric utility non-cogen,PV,SUN
Fall River Solar CSG,60738,MA,Electric utility non-cogen,PV,SUN
Falmouth Landfill Solar,61562,MA,Electric utility non-cogen,PV,SUN
Farley Road Community Solar,61294,MA,Electric utility non-cogen,PV,SUN
Farmersville,59203,CA,Electric utility non-cogen,PV,SUN
Farmington Holdco Solar,60832,MN,Electric utility non-cogen,PV,SUN
Farmington Solar Farm,61450,MO,Electric utility non-cogen,PV,SUN
Farrington Farm,58318,NC,Electric utility non-cogen,PV,SUN
FastSun 1 CSG,63046,MN,Electric utility non-cogen,PV,SUN
FastSun 13 CSG,63035,MN,Electric utility non-cogen,PV,SUN
FastSun 14 CSG,63036,MN,Electric utility non-cogen,PV,SUN
FastSun 18 CSG,63034,MN,Electric utility non-cogen,PV,SUN
FastSun 3 CSG,63042,MN,Electric utility non-cogen,PV,SUN
FastSun 5 CSG,63045,MN,Electric utility non-cogen,PV,SUN
FastSun 7 CSG,63043,MN,Electric utility non-cogen,PV,SUN
FastSun 8 CSG,63039,MN,Electric utility non-cogen,PV,SUN
FedEx Field Solar Facility,57747,MD,Electric utility non-cogen,PV,SUN
FedEx Woodbridge,57776,NJ,Electric utility non-cogen,PV,SUN
"Federal Road Solar 1, LLC CSG",60065,MA,Electric utility non-cogen,PV,SUN
Felton CSG PV1-5,62210,MN,Electric utility non-cogen,PV,SUN
Fennimore Solar,62847,WI,Electric utility non-cogen,PV,SUN
Fiddler's Canyon #1,59787,UT,Electric utility non-cogen,PV,SUN
Fiddler's Canyon #2,59786,UT,Electric utility non-cogen,PV,SUN
Fiddler's Canyon 3,59932,UT,Electric utility non-cogen,PV,SUN
Finger Lakes Solar I,61210,NY,Electric utility non-cogen,PV,SUN
First Baptist Church of Glenarden,62043,MD,Electric utility non-cogen,PV,SUN
First Citizens Bank,61491,NC,Commercial non-cogen,PV,SUN
Fisher Road Solar,60075,MA,Electric utility non-cogen,PV,SUN
Fisher Solar Farm - NC,61089,NC,Electric utility non-cogen,PV,SUN
Five Forks Solar,59951,NC,Electric utility non-cogen,PV,SUN
Five Points Solar Park,59523,CA,Electric utility non-cogen,PV,SUN
Five Points Solar Station,57498,CA,Electric utility,PV,SUN
Flambeau Solar Partners,61595,WI,Electric utility non-cogen,PV,SUN
Flash Solar,58726,NC,Electric utility non-cogen,PV,SUN
Flat Meeks PV 1,59514,NC,Electric utility non-cogen,PV,SUN
Flemington Solar,57485,NJ,Electric utility non-cogen,PV,SUN
Flemming Solar Center LLC,58808,NC,Electric utility non-cogen,PV,SUN
"Flint Hill Solar, LLC",60370,NC,Electric utility non-cogen,PV,SUN
"Florence Solar W3-080, LLC",60990,NJ,Electric utility non-cogen,PV,SUN
Flowers Solar LLC,62487,NC,Electric utility non-cogen,PV,SUN
Floyd Road Solar Farm,61031,NC,Electric utility non-cogen,PV,SUN
"Floyd Solar, LLC",60147,NC,Electric utility non-cogen,PV,SUN
Folsom SP and CSP Sacramento,61698,CA,Electric utility non-cogen,PV,SUN
Foothills Solar Plant Hybrid,57997,AZ,Electric utility,PV,SUN
Forbes Street Solar,58583,RI,Electric utility non-cogen,PV,SUN
Ford World Headquarters,60018,MI,Electric utility,PV,SUN
Foreman's Hill Community Solar,61690,MN,Electric utility non-cogen,PV,SUN
Forest City Solar,62861,IA,Electric utility non-cogen,PV,SUN
Forest Lake Solar CSG,60837,MN,Electric utility non-cogen,PV,SUN
"Forever 21 Retail, Inc.",59651,CA,Electric utility non-cogen,PV,SUN
Fort Benning Solar Facility,59862,GA,Electric utility,PV,SUN
Fort Bliss (DEA EPIC),61887,TX,Electric utility non-cogen,PV,SUN
Fort Detrick Solar PV,61552,MD,Electric utility non-cogen,PV,SUN
Fort Gordon Solar Facility,59863,GA,Electric utility,PV,SUN
Fort Huachuca Solar PV Project,58972,AZ,Electric utility,PV,SUN
Fort Indiantown Gap,62408,PA,Electric utility non-cogen,PV,SUN
Fort Rucker Solar Array,60679,AL,Electric utility,PV,SUN
Fort Stewart Solar Facility,59865,GA,Electric utility,PV,SUN
Founders Homestead Farms Solar,62302,RI,Electric utility non-cogen,PV,SUN
"Fox CSG, LLC",61484,MN,Electric utility non-cogen,PV,SUN
Fox Creek Solar,60624,NC,Electric utility non-cogen,PV,SUN
Foxfire Solar Farm,59563,NC,Electric utility non-cogen,PV,SUN
Francis Scott Key Mall,63253,MD,Commercial non-cogen,PV,SUN
Francisco St. Solar,62287,CA,Commercial non-cogen,PV,SUN
Frankford Solar,60732,NJ,Electric utility non-cogen,PV,SUN
Franklin 1,59178,MA,Electric utility non-cogen,PV,SUN
Franklin 2,59179,MA,Electric utility non-cogen,PV,SUN
Franklin Solar,62021,CT,Electric utility non-cogen,PV,SUN
Franklin Solar,63149,NJ,Electric utility non-cogen,PV,SUN
Franklin Solar 2,59579,NC,Electric utility non-cogen,PV,SUN
Franklin Solar Site,62784,NY,Electric utility non-cogen,PV,SUN
"Franklin Solar, LLC",58802,NC,Electric utility non-cogen,PV,SUN
Franklinton Solar,59708,NC,Electric utility non-cogen,PV,SUN
Frederick County - Landfill,63496,MD,Electric utility non-cogen,PV,SUN
Freedom Solar,61833,SC,Electric utility non-cogen,PV,SUN
Freeman Avenue,62887,GA,Electric utility non-cogen,PV,SUN
Freemont Solar Center LLC,59912,NC,Electric utility non-cogen,PV,SUN
Freetown Solar,58283,MA,Electric utility non-cogen,PV,SUN
Freeway Springs,60183,CA,Electric utility non-cogen,PV,SUN
Freeze Solar,60759,NJ,Electric utility non-cogen,PV,SUN
Fremont Farm,59103,NC,Electric utility non-cogen,PV,SUN
French's Landfill PV,60994,NJ,Commercial non-cogen,PV,SUN
Frenchtown I Solar,57486,NJ,Electric utility non-cogen,PV,SUN
Frenchtown II Solar,57487,NJ,Electric utility non-cogen,PV,SUN
Frenchtown III Solar,58564,NJ,Electric utility non-cogen,PV,SUN
Fresno Solar,60083,CA,Electric utility non-cogen,PV,SUN
Frog Hollow CSG,63086,NY,Electric utility non-cogen,PV,SUN
"Frontenac Holdco LLC, CSG",61919,MN,Electric utility non-cogen,PV,SUN
Frontier HS Solar Project,62275,CA,Commercial non-cogen,PV,SUN
Frontier Solar LLC,60039,CA,Electric utility non-cogen,PV,SUN
Ft. Churchill PV,59472,NV,Commercial non-cogen,PV,SUN
Fusion Solar Center LLC,58876,CT,Electric utility non-cogen,PV,SUN
G&S Wantage Solar LLC,59366,NJ,Electric utility non-cogen,PV,SUN
"GD Richmond Buttonwoods I, LLC",62567,RI,Electric utility non-cogen,PV,SUN
"GD West Greenwich Victory I, LLC",62568,RI,Electric utility non-cogen,PV,SUN
GELD Solar Farm,61539,MA,Electric utility non-cogen,PV,SUN
GKS Solar,59426,NC,Electric utility non-cogen,PV,SUN
GM Lordstown Assembly Solar Array,59683,OH,Industrial non-cogen,PV,SUN
GMP Solar - Hartford,60874,VT,Electric utility,PV,SUN
GMP Solar - Panton Hybrid,60562,VT,Electric utility,PV,SUN
GMP Solar - Richmond,60547,VT,Electric utility,PV,SUN
GMP Solar - Williamstown,60877,VT,Electric utility,PV,SUN
GMP Solar - Williston,60875,VT,Electric utility,PV,SUN
GMP Solar/Storage-Essex Hybrid,62383,VT,Electric utility,PV,SUN
GMP Solar/Storage-Ferrisburgh Hybrid,62382,VT,Electric utility,PV,SUN
GMP Solar/Storage-Milton Hybrid,62381,VT,Electric utility,PV,SUN
GRE Marshan Solar,60935,MN,Electric utility non-cogen,PV,SUN
GSE NM1,58576,NM,Electric utility non-cogen,PV,SUN
GSK York RDC Solar Facility,57390,PA,Electric utility non-cogen,PV,SUN
"GSPP  Raynham TMLP, LLC CSG",62826,MA,Electric utility non-cogen,PV,SUN
GSPP Boxborough Littleton (MA),62890,MA,Electric utility non-cogen,PV,SUN
"GSPP Devens, LLC",62824,MA,Electric utility non-cogen,PV,SUN
"GSPP Gilman, LLC",63368,VT,Electric utility non-cogen,PV,SUN
GSPP Held LLC CSG,62829,MN,Electric utility non-cogen,PV,SUN
GSPP Imholte CSG,62830,MN,Electric utility non-cogen,PV,SUN
GSPP Terrawatt Westfield LLC CSG,62825,MA,Electric utility non-cogen,PV,SUN
GSSP Schneider LLC,63370,MN,Electric utility non-cogen,PV,SUN
GWCC PV Solar Farm,61738,MD,Electric utility non-cogen,PV,SUN
"Gainey Solar, LLC",60633,NC,Electric utility non-cogen,PV,SUN
Gamble Solar,61127,NC,Electric utility non-cogen,PV,SUN
Gap Pacific Distribution Center,56909,CA,Commercial non-cogen,PV,SUN
Gardner - Otter River Road,62870,MA,Electric utility non-cogen,PV,SUN
Gardner Solar 1,58937,MA,Electric utility non-cogen,PV,SUN
Garfield Solar,62680,NJ,Electric utility non-cogen,PV,SUN
Garnet Solar (NY),62843,NY,Electric utility non-cogen,PV,SUN
Garnet Solar Generation Station I LLC,58528,CA,Electric utility non-cogen,PV,SUN
Garrell Solar Farm,58866,NC,Electric utility non-cogen,PV,SUN
Garrett County - DPU Treatment Plant,60847,MD,Electric utility non-cogen,PV,SUN
Garrett Solar,63301,OR,Electric utility non-cogen,PV,SUN
Gary Solar,61942,SC,Electric utility non-cogen,PV,SUN
Garysburg Solar,59641,NC,Electric utility non-cogen,PV,SUN
Gaskill Rd Community Solar Farm CSG,62474,NY,Electric utility non-cogen,PV,SUN
Gaston II,61961,SC,Electric utility non-cogen,PV,SUN
Gaston Solar,59642,NC,Electric utility non-cogen,PV,SUN
Gaston Solar I - SC,61530,SC,Electric utility non-cogen,PV,SUN
Gastonia Solar Center,60359,NC,Electric utility non-cogen,PV,SUN
Gates Solar LLC,58673,NC,Electric utility non-cogen,PV,SUN
Gates Solar Station,57892,CA,Electric utility,PV,SUN
Gateway Solar,61794,MD,Electric utility non-cogen,PV,SUN
"Gato Montes Solar, LLC",58842,AZ,Electric utility non-cogen,PV,SUN
Gavilan District College Solar Project,61993,CA,Electric utility non-cogen,PV,SUN
Gemini Community Solar,60940,MN,Electric utility non-cogen,PV,SUN
"Gemini Technologies Services, Inc. Solar",60804,NJ,Electric utility non-cogen,PV,SUN
Genentech Vacaville Meter #1,60844,CA,Electric utility non-cogen,PV,SUN
Genentech-Oceanside Hybrid,60231,CA,Electric utility non-cogen,PV,SUN
General Electric Aircraft Engines,10029,MA,Industrial cogen,"PV,ST","NG,SUN"
General Motors Corp at White Marsh MD,59841,MD,Electric utility non-cogen,PV,SUN
Geneseo,944,IL,Electric utility,"WT,IC,PV","WND,NG,DFO,SUN"
Genesis Solar Energy Project,57394,CA,Electric utility non-cogen,ST,SUN
Georgia Power at Jakin GA PV,61397,GA,Electric utility non-cogen,PV,SUN
Georgia Power at Swainsboro,61459,GA,Electric utility non-cogen,PV,SUN
Georgia Power at Wadley GA,59843,GA,Electric utility non-cogen,PV,SUN
"Germantown Solar, LLC",60480,NC,Electric utility non-cogen,PV,SUN
Gibbon Solar,62010,MN,Electric utility non-cogen,PV,SUN
Gibbons CSG,63089,MD,Electric utility non-cogen,PV,SUN
Giffen,57521,CA,Electric utility,PV,SUN
Giffen Solar Park,59522,CA,Electric utility non-cogen,PV,SUN
Gifford CSG,63056,NY,Electric utility non-cogen,PV,SUN
Gila Bend Hybrid,59020,AZ,Electric utility,PV,SUN
"Gilbert Solar Facility I, LLC",58543,AZ,Electric utility non-cogen,PV,SUN
Gilcrest Solar,62663,CO,Electric utility non-cogen,PV,SUN
Gillespie 1,58501,AZ,Electric utility non-cogen,PV,SUN
Glopak Solar PV Power Plant,61248,NJ,Industrial non-cogen,PV,SUN
Gloucester Community College Solar,60752,NJ,Electric utility non-cogen,PV,SUN
Gloucester Solar,63031,VA,Electric utility,PV,SUN
"Golden Fields Solar I, LLC",60590,CA,Electric utility non-cogen,PV,SUN
Golden Hills Solar,61315,MA,Electric utility non-cogen,PV,SUN
Golden Springs Building C-1,57796,CA,Electric utility non-cogen,PV,SUN
Golden Springs Building D,57797,CA,Electric utility non-cogen,PV,SUN
Goldenrod Solar,61943,SC,Electric utility non-cogen,PV,SUN
Goldfinch,60124,FL,Electric utility non-cogen,PV,SUN
Goose Lake MN DPC-GM,62148,MN,Electric utility non-cogen,PV,SUN
Goose Pond Solar,62992,MA,Electric utility non-cogen,PV,SUN
Gopher CSG,61426,MN,Electric utility non-cogen,PV,SUN
Gore Mountain Solar II,61764,NY,Electric utility non-cogen,PV,SUN
"Goya Foods, Inc- Jersey City Solar",60839,NJ,Electric utility non-cogen,PV,SUN
"Goya Foods, Inc- Secaucus Solar",60840,NJ,Electric utility non-cogen,PV,SUN
Grafton PV,61341,MA,Electric utility non-cogen,PV,SUN
Grafton Solar,59394,MA,Electric utility non-cogen,PV,SUN
Graham Solar Center LLC,58957,NC,Electric utility non-cogen,PV,SUN
Grand Prix Solar,63291,NY,Commercial non-cogen,PV,SUN
Grand Ridge Solar Farm,57912,IL,Electric utility non-cogen,PV,SUN
Grand Ronde Solar,61835,OR,Electric utility non-cogen,PV,SUN
Grand Valley Solar Gardens,60118,MI,Electric utility,PV,SUN
Grand View Solar Two,60068,ID,Electric utility non-cogen,PV,SUN
Grange Hall Solar,61656,FL,Electric utility,PV,SUN
Granger,60516,CA,Electric utility non-cogen,PV,SUN
"Granite Mountain Solar East, LLC",59946,UT,Electric utility non-cogen,PV,SUN
"Granite Mountain Solar West, LLC",59945,UT,Electric utility non-cogen,PV,SUN
Granite Peak Solar Plant,58604,UT,Electric utility non-cogen,PV,SUN
Grants CDEC 2,62995,NM,Electric utility non-cogen,PV,SUN
Granville Solar PV Power Project,58487,NC,Electric utility non-cogen,PV,SUN
Grassland 1&2 Solar Project,58217,CA,Electric utility non-cogen,PV,SUN
Grassland 3&4 Solar Project,58204,CA,Electric utility non-cogen,PV,SUN
Gratis Road Solar Facility,61740,GA,Electric utility non-cogen,PV,SUN
Gray Hawk Solar,61272,AZ,Electric utility non-cogen,PV,SUN
Grazing Yak Solar,62376,CO,Electric utility non-cogen,PV,SUN
Great Bay Solar 1,59851,MD,Electric utility non-cogen,PV,SUN
"Great Divide Solar, LLC",61335,MT,Electric utility non-cogen,PV,SUN
"Great Valley Solar Portfolio Holdings, LLC",59940,CA,Electric utility non-cogen,PV,SUN
Greater Sandhill I,57377,CO,Electric utility non-cogen,PV,SUN
Green Acres Solar Facility 1,57849,CA,Electric utility non-cogen,PV,SUN
